|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
8136|G07604PVEN|ES15142 - SMESTOW D|England|44|Photovoltaic|FiT|2016-06-02|2015-12-17|||2017-04|30.0|
8137|R00004RDEN|Worsthorne Hydro at Worsthorne WTW - A,C,D|England|87|Hydro|RO|2003-01-01|1991-08-01|||2003-07|15.0|15.0
8138|G06369PVEN|Aldi Batley|England|50|Photovoltaic|FiT|2015-05-27|2015-05-07|||2015-08|15.0|
8139|G06360PVEN|Aldi Clowne|England|50|Photovoltaic|FiT|2015-05-27|2015-04-22|||2015-08|15.0|
8140|G05956PVEN|Aldi Cannock|England|50|Photovoltaic|FiT|2015-01-13|2015-01-07|||2015-08|30.0|
8141|G05865PVEN|Aldi Bulwell|England|50|Photovoltaic|FiT|2014-12-15|2014-11-27|||2015-08|30.0|
8142|R00157SZSC|Auchinleck Academy|Scotland|12|On-shore wind|RO|2009-04-01|2008-02-22|||2010-03|15.0|30.0
8143|G01860NWEN|Kensa|England|20|On-shore wind|FiT|2011-07-31|2010-07-21|5.5%|6.3%|2017-11|11.0|
8144|R00145SZSC|Ardslignish|Scotland|11|On-shore wind|RO|2009-03-02|2009-02-16|16.3%|26.5%|2010-03|26.0|
8145|G02455NWEN|old hall cottage|England|15|On-shore wind|FiT|2014-04-25|2012-02-14|12.5%|12.2%|2018-05|16.0|
8146|R00001NZNI|Gruige - M|NI|20|On-shore wind|RO|2005-04-01|2004-06-01|13.9%|16.0%|2007-09|28.0|28.0
8147|R00002RUEN|Manneby Prior PV roof|England|55|Photovoltaic|RO|2004-04-01|2004-01-01|3.2%|0.4%|2015-06|2.0|
8148|R00049SZSC|The Stables - Y, (07/06/07), agent is TL|Scotland|6|On-shore wind|FiT|2007-06-01|2007-03-01|26.8%|17.2%|2010-03|9.0|
8149|R00038RZEN|SWET Hamlet Wind Turbine - M|England|15|On-shore wind|FiT|2006-09-01|2006-09-01|11.9%|4.6%|2017-11|6.0|
8150|G01538HYEN|Torver Mill|England|36|Hydro|FiT|2015-12-11|2015-12-11|6.9%|8.6%|2017-03|27.0|
8151|G07607PVEN|ES15062 - FARNWORTH|England|50|Photovoltaic|FiT|2016-06-02|2016-03-24|||2017-04|29.0|
8152|G02152NWEN|Lower Sweeney Farm|England|15|On-shore wind|FiT|2012-12-17|2012-09-27|12.9%|13.7%|2018-01|18.0|
8153|G05817PVEN|Aldi Derby|England|50|Photovoltaic|FiT|2014-11-26|2014-10-30|||2015-08|29.0|
8154|R00684NGNI|Collins solar|NI|21|Photovoltaic|RO|2012-11-16|2012-02-16|8.9%|6.0%|2018-03|11.0|44.0
8155|G05749PVEN|Aldi Kirby in Ashfield|England|50|Photovoltaic|FiT|2014-10-07|2014-09-30|||2015-08|29.0|
8156|R00037RYEN|The Town Mill Lyme Regis - D, Y (01/03/07)|England|7|Hydro|FiT|2007-04-01|2007-03-01|22.3%|30.1%|2010-03|18.0|37.0
8157|R00155RZEN|South Hoyland (4/06/2007)|England|5|On-shore wind|RO|2007-06-04|2007-05-01|32.8%|33.1%|2010-03|14.0|29.0
8158|R00163SZSC|Rousay Church Centre|Scotland|6|On-shore wind|FiT|2009-04-27|2009-01-20|||2010-03|14.0|
8159|R00075SZSC|Ginnwindy - Y (17/12/2007), Agent is SSE|Scotland|6|On-shore wind|FiT|2007-12-01|2007-09-01|27.3%|25.7%|2010-03|14.0|
